SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-10-2025,Single Family Residential,30 Page Rd,Weston,MA,02493,2600000,6,5.5,Weston,6226,56192,1994,,418,,Sold,,,https://www.redfin.com/MA/Weston/30-Page-Rd-02493/home/8782114,MLS PIN,73425829,N,Y,42.3820426,-71.2802981
PAST SALE,June-24-2025,Vacant Land,49 Concord Rd,Weston,MA,02493,1300000,,,Weston,,60000,,,,,Sold,,,https://www.redfin.com/MA/Weston/49-Concord-Rd-02493/home/8782526,MLS PIN,73356472,N,Y,42.3700531,-71.3064976
PAST SALE,October-17-2025,Single Family Residential,50 Fairview Rd,Weston,MA,02493,3200000,5,7.5,Weston,7000,40229,1998,,457,,Sold,,,https://www.redfin.com/MA/Weston/50-Fairview-Rd-02493/home/8781767,MLS PIN,73415650,N,Y,42.3810499,-71.2958478
PAST SALE,August-11-2025,Condo/Co-op,4 Somerset Pl #4,Weston,MA,02493,2150000,2,2.5,Weston,2082,,2012,,1033,2093,Sold,,,https://www.redfin.com/MA/Weston/Unknown-02493/unit-4/home/147632154,MLS PIN,73363500,N,Y,42.362865,-71.317557
PAST SALE,April-16-2025,Single Family Residential,91 Montvale Rd,Weston,MA,02493,3980000,5,5,Weston,6065,60436,2007,,656,,Sold,,,https://www.redfin.com/MA/Weston/91-Montvale-Rd-02493/home/11803813,MLS PIN,73332749,N,Y,42.3794649,-71.2982283
PAST SALE,January-5-2026,Townhouse,17 Lexington St #17,Weston,MA,02493,900000,3,2.5,Weston,1265,,1887,,711,,Sold,,,https://www.redfin.com/MA/Weston/17-Lexington-St-02493/unit-17/home/77500606,MLS PIN,73441251,N,Y,42.3815233,-71.2771883
PAST SALE,July-16-2025,Single Family Residential,35 Bemis St,Weston,MA,02493,1350000,4,3.5,Weston,2595,30270,1957,,520,,Sold,,,https://www.redfin.com/MA/Weston/35-Bemis-St-02493/home/8777933,MLS PIN,73373888,N,Y,42.3904185,-71.3021064
PAST SALE,August-15-2025,Single Family Residential,35 Bittersweet Ln,Weston,MA,02493,1940000,3,3.5,Weston,3419,60000,1965,,567,,Sold,,,https://www.redfin.com/MA/Weston/35-Bittersweet-Ln-02493/home/8789494,MLS PIN,73368496,N,Y,42.3381554,-71.2944854
PAST SALE,July-1-2025,Single Family Residential,56 Doublet Hill Rd,Weston,MA,02493,9200000,5,5.5,Weston,7418,73068,2002,,1240,,Sold,,,https://www.redfin.com/MA/Weston/56-Doublet-Hill-Rd-02493/home/8786857,MLS PIN,73353297,N,Y,42.3510329,-71.2774446
PAST SALE,December-3-2025,Single Family Residential,168 Beaver Rd,Weston,MA,02493,4075000,5,7,Weston,7369,86136,2015,,553,,Sold,,,https://www.redfin.com/MA/Weston/168-Beaver-Rd-02493/home/8791877,MLS PIN,73430033,N,Y,42.3212105,-71.3164898
PAST SALE,October-28-2025,Single Family Residential,56 Ridgeway Rd,Weston,MA,02493,2800000,5,3.5,Weston,3552,120984,1954,,788,,Sold,,,https://www.redfin.com/MA/Weston/56-Ridgeway-Rd-02493/home/8789627,MLS PIN,73374291,N,Y,42.3360051,-71.2777874
PAST SALE,April-15-2025,Single Family Residential,77 Kings Grant Rd,Weston,MA,02493,3800000,5,5,Weston,5050,62178,2019,,752,,Sold,,,https://www.redfin.com/MA/Weston/77-Kings-Grant-Rd-02493/home/8776963,MLS PIN,73330501,N,Y,42.3958987,-71.2867502
PAST SALE,August-22-2025,Single Family Residential,12 Meadowbrook Rd,Weston,MA,02493,3025000,4,2.5,Weston,3332,70890,1931,,908,,Sold,,,https://www.redfin.com/MA/Weston/12-Meadowbrook-Rd-02493/home/8786968,MLS PIN,73382473,N,Y,42.3487695,-71.2683266
PAST SALE,October-15-2025,Single Family Residential,86 Myles Standish Rd,Weston,MA,02493,2900000,6,4,Weston,4350,101818,1968,,667,,Sold,,,https://www.redfin.com/MA/Weston/86-Myles-Standish-Rd-02493/home/8776754,MLS PIN,73386874,N,Y,42.3991941,-71.2886011
PAST SALE,January-13-2026,Single Family Residential,51 Church St,Weston,MA,02493,2425000,5,4,Weston,4977,70131,1898,,487,,Sold,,,https://www.redfin.com/MA/Weston/51-Church-St-02493/home/8782982,MLS PIN,73446081,N,Y,42.3715177,-71.2926929
PAST SALE,August-21-2025,Condo/Co-op,53 Jericho Rd Unit A,Weston,MA,02493,441000,1,1,Weston,728,,1980,,606,529,Sold,,,https://www.redfin.com/MA/Weston/53-Jericho-Rd-02493/unit-A/home/8794397,MLS PIN,73392377,N,Y,42.3698844,-71.3119888
PAST SALE,December-12-2025,Townhouse,52 Jericho #52,Weston,MA,02493,844200,2,2,Weston,1375,,1980,,614,726,Sold,,,https://www.redfin.com/MA/Weston/52-Jericho-Rd-02493/unit-52/home/92893392,MLS PIN,73431138,N,Y,42.369455,-71.309883
PAST SALE,June-27-2025,Single Family Residential,57 Westcliff Rd,Weston,MA,02493,5420000,6,7,South Side,8005,63485,2024,,677,,Sold,,,https://www.redfin.com/MA/Weston/57-Westcliff-Rd-02493/home/8792432,MLS PIN,73355928,N,Y,42.3258798,-71.297969
PAST SALE,November-6-2025,Single Family Residential,71 Silver Hill Rd,Weston,MA,02493,1715000,3,2.5,Silver Hill,3108,33105,1941,,552,,Sold,,,https://www.redfin.com/MA/Weston/71-Silver-Hill-Rd-02493/home/8777513,MLS PIN,73411141,N,Y,42.3952376,-71.3034609
PAST SALE,December-2-2025,Townhouse,5 Upham Way #5,Weston,MA,02493,1459000,3,2.5,Weston,3240,,1996,,450,720,Sold,,,https://www.redfin.com/MA/Weston/5-Upham-Way-02493/unit-5/home/197616076,MLS PIN,73424609,N,Y,42.3334878,-71.3151462
PAST SALE,August-26-2025,Single Family Residential,80 Loring Rd,Weston,MA,02493,2950000,5,6,Weston,6672,59763,2002,,442,,Sold,,,https://www.redfin.com/MA/Weston/80-Loring-Rd-02493/home/8787308,MLS PIN,73354866,N,Y,42.3504676,-71.2676641
PAST SALE,July-7-2025,Single Family Residential,78 Byron Rd,Weston,MA,02493,3170000,5,5.5,Weston,6770,51150,1997,,468,,Sold,,,https://www.redfin.com/MA/Weston/78-Byron-Rd-02493/home/8791011,MLS PIN,73342830,N,Y,42.3334446,-71.2830277
PAST SALE,December-10-2025,Single Family Residential,103 Loring Rd,Weston,MA,02493,2052500,5,5.5,Weston,3713,21780,1933,,553,,Sold,,,https://www.redfin.com/MA/Weston/103-Loring-Rd-02493/home/8787215,MLS PIN,73424658,N,Y,42.3519881,-71.2675234
